ticker,security_type,reason,signals
TBCH,common_stock,profile_fields_present,12
TBHC,common_stock,profile_fields_present,1
TBLA,common_stock,profile_fields_present,10
TBMC,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,121
TBN,common_stock,profile_fields_present,13
TBPH,common_stock,profile_fields_present,29
TBRG,common_stock,profile_fields_present,56
TCBI,common_stock,profile_fields_present,29
TCBK,common_stock,profile_fields_present,17
TCBS,common_stock,profile_fields_present,19
TCBX,common_stock,profile_fields_present,47
TCI,common_stock,profile_fields_present,24
TCMD,common_stock,profile_fields_present,24
TCN,common_stock,profile_fields_present,20
TCX,common_stock,profile_fields_present,7
TDAY,common_stock,profile_fields_present,28
TDC,common_stock,profile_fields_present,1
TDS,common_stock,profile_fields_present,48
TDUP,common_stock,profile_fields_present,38
TDW,common_stock,profile_fields_present,34
TE,common_stock,profile_fields_present,20
TEAF,mutual_fund,raw_flag:isFund,11
TECTP,preferred,symbol_suffix:fifth_char_P,21
TECX,common_stock,profile_fields_present,31
TEF,adr,raw_flag:isAdr,33
TELZ,common_stock,profile_fields_present,11
TEMP,etf,is_etf=True,31
TEN,common_stock,profile_fields_present,62
TENB,common_stock,profile_fields_present,3
TENK,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,46
TENX,common_stock,profile_fields_present,18
TERN,common_stock,profile_fields_present,33
TETE,spac_or_blank_check,name_contains:ACQUISITION CORPORATION,116
TEX,common_stock,profile_fields_present,13
TFIN,common_stock,profile_fields_present,17
TFINP,preferred,symbol_suffix:fifth_char_P,17
TFSA,mutual_fund,raw_flag:isFund,6
TFSL,common_stock,profile_fields_present,19
TG,common_stock,profile_fields_present,25
TGAA,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,36
TGAN,common_stock,profile_fields_present,1
TGB,common_stock,profile_fields_present,57
TGEN,common_stock,profile_fields_present,34
TGH,common_stock,profile_fields_present,15
TGI,common_stock,profile_fields_present,35
TGLS,common_stock,profile_fields_present,37
TGNA,common_stock,profile_fields_present,13
TGVC,spac_or_blank_check,name_contains:ACQUISITION CORP,14
TH,common_stock,profile_fields_present,10
THAR,common_stock,profile_fields_present,3
THCP,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,36
THFF,common_stock,profile_fields_present,45
THM,common_stock,profile_fields_present,29
THO,common_stock,profile_fields_present,11
THRD,common_stock,profile_fields_present,8
THTX,common_stock,profile_fields_present,29
TIC,common_stock,profile_fields_present,4
TII,common_stock,profile_fields_present,4
TIL,common_stock,profile_fields_present,10
TILE,common_stock,profile_fields_present,47
TIPT,common_stock,profile_fields_present,20
TISI,common_stock,profile_fields_present,13
TITN,common_stock,profile_fields_present,8
TIXT,common_stock,profile_fields_present,3
TK,common_stock,profile_fields_present,49
TKNO,common_stock,profile_fields_present,18
TLGY,spac_or_blank_check,name_contains:ACQUISITION CORPORATION,125
TLRY,common_stock,profile_fields_present,2
TLS,common_stock,profile_fields_present,13
TLSI,common_stock,profile_fields_present,7
TLX,common_stock,profile_fields_present,2
